"열다","to open (e.g., a door); to open (e.g., a store)"
"가게를 열다","to open a store"
"입을 열다","to open one's mouth"
"마음을 열다","to open one's mind/heart"
"멈추다","to stop, halt"
"차를 멈추다","to stop a car"
"비디오를 잠깐 멈추다","to pause a video"
"걸음을 멈추다","to stop walking"
"자르다","to cut"
"머리를 짧게 자르다","to cut one's hair short"
"삼각형 모양으로 종이를 자르다","to cut paper in a triangular shape"
"믿다","to believe, to trust, to have faith in"
"나는 너를 믿는다","I believe in you."
"낫다","to recover, get well"
"감기가 낫다","to recover from a cold"
"벗다","to take off, undress"
"옷을 벗다","to take off one's clothes"
"얻다","to get, gain, win"
"인기를 얻다","to gain popularity or favor"
"믿음을 얻다","to gain someone's trust"
"잃어버리다","to lose"
"마음을 잃어버리다","to lose heart"
"잊어버리다","to forget"
"정하다","to decide, determine"
"법을 정하다","to enact a law"
"때와 장소를 정하다","to decide a time and place"
"좁다","to be narrow, cramped"
"세상 참 좁다","it's a small world"
"기르다","to raise, rear; to grow"
"실력을 기르다","to cultivate one's ability"
"식물을 기르다","to nurse a plant"
"어린 나무를 기르다","to nurse a young tree"
"자기가 먹을 채소를 기르다","to raise one's own vegetables"
"~와 싸우다","to fight, battle with ...; to argue, quarrel with ..."
"졸다","to doze off"
"수업 시간에 졸다","to doze off during class"
"취하다","to get drunk, intoxicated"
"음식에 취하다","to be drunk on food"
"피하다","to avoid, sidestep, dodge; to duck down"
"비를 피하다","to take shelter from the rain"
"~의 눈을 피하다","to avoid eye contact with"
"화내다","to lose one's temper"
"아무것도 아닌 일에 화내다","to lose one's temper over nothing"
"느끼다","to feel, experience"
"연민","sympathy, pity, compassion"
"연민 느끼다","to feel pity or compassions"
"느리다","to be slow"
"타이핑이 느리다","to type slowly"
"누르다","to press, push"
"벨을 누르다","to ring a bell"
"스위치를 누르다","to flip a switch"
"버튼을 누르다","to press a button"
"밀다","to push, shove, nudge"
"도로 밀다","to push back"
"당기다","to pull, tug"
"구미","taste, palate"
"구미가 당기다","to appeal to one's palate/tastes"
"의자를 앞으로 당기다","to pull up a chair"
"근육","muscle"
"근육을 당기다","to pull a muscle"
"찢다","to tear, rip"
"근육을 찢다","to tear a muscle"
"빼다","to take out, remove"
"이를 빼다","to remove a tooth out"
"걸다","to hang (up)"
"옷 걸다","to hang up clothes"
"그림 걸다","to hang up a photo"
